Pair,Contract
AAVE / ETH,0x6Df09E975c830ECae5bd4eD9d90f3A95a4f88012
AAVE / USD,0x547a514d5e3769680Ce22B2361c10Ea13619e8a9
ADA / USD,0xAE48c91dF1fE419994FFDa27da09D5aC69c30f55
ADX / USD,0x231e764B44b2C1b7Ca171fa8021A24ed520Cde10
ANT / ETH,0x8f83670260F8f7708143b836a2a6F11eF0aBac01
AUD / USD,0x77F9710E7d0A19669A13c055F62cd80d313dF022
BAL / ETH,0xC1438AA3823A6Ba0C159CfA8D98dF5A994bA120b
BAT / ETH,0x0d16d4528239e9ee52fa531af613AcdB23D88c94
BCH / USD,0x9F0F69428F923D6c95B781F89E165C9b2df9789D
BNB / USD,0x14e613AC84a31f709eadbdF89C6CC390fDc9540A
BNT / ETH,0xCf61d1841B178fe82C8895fe60c2EDDa08314416
BNT / USD,0x1E6cF0D433de4FE882A437ABC654F58E1e78548c
BTC / ARS,0xA912dd6b62B1C978e205B86994E057B1b494D73a
BTC / ETH,0xdeb288F737066589598e9214E782fa5A8eD689e8
BTC / USD,0xF4030086522a5bEEa4988F8cA5B36dbC97BeE88c
BTC Difficulty,0xA792Ebd0E4465DB2657c7971519Cfa0f0275F428
BUSD / ETH,0x614715d2Af89E6EC99A233818275142cE88d1Cfd
BZRX / ETH,0x8f7C7181Ed1a2BA41cfC3f5d064eF91b67daef66
CHF / USD,0x449d117117838fFA61263B61dA6301AA2a88B13A
COMP / ETH,0x1B39Ee86Ec5979ba5C322b826B3ECb8C79991699
COMP / USD,0xdbd020CAeF83eFd542f4De03e3cF0C28A4428bd5
CRO / ETH,0xcA696a9Eb93b81ADFE6435759A29aB4cf2991A96
CRV / ETH,0x8a12Be339B0cD1829b91Adc01977caa5E9ac121e
DAI / ETH,0x773616E4d11A78F511299002da57A0a94577F1f4
DAI / USD,0xAed0c38402a5d19df6E4c03F4E2DceD6e29c1ee9
DASH / USD,0xFb0cADFEa136E9E343cfb55B863a6Df8348ab912
DMG / ETH,0xD010e899f7ab723AC93f825cDC5Aa057669557c2
ENJ / ETH,0x24D9aB51950F3d62E9144fdC2f3135DAA6Ce8D1B
EOS / USD,0x10a43289895eAff840E8d45995BBa89f9115ECEe
ETC / USD,0xaEA2808407B7319A31A383B6F8B60f04BCa23cE2
ETH / USD,0x5f4eC3Df9cbd43714FE2740f5E3616155c5b8419
ETH / XDR,0xb022E2970b3501d8d83eD07912330d178543C1eB
EUR / USD,0xb49f677943BC038e9857d61E7d053CaA2C1734C1
FNX / USD,0x80070f7151BdDbbB1361937ad4839317af99AE6c
FTSE / GBP,0xE23FA0e8dd05D6f66a6e8c98cab2d9AE82A7550c
Fast Gas / Gwei,0x169E633A2D1E6c10dD91238Ba11c4A708dfEF37C
GBP / USD,0x5c0Ab2d9b5a7ed9f470386e82BB36A3613cDd4b5
JPY / USD,0xBcE206caE7f0ec07b545EddE332A47C2F75bbeb3
KNC / ETH,0x656c0544eF4C98A6a98491833A89204Abb045d6b
KNC / USD,0xf8fF43E991A81e6eC886a3D281A2C6cC19aE70Fc
LINK / ETH (Bancor),0xFf2c64f454EAf1b9ee8c204404A73E287A567A44
LINK / ETH,0xDC530D9457755926550b59e8ECcdaE7624181557
LINK / USD,0x2c1d072e956AFFC0D435Cb7AC38EF18d24d9127c
LRC / ETH,0x160AC928A16C93eD4895C2De6f81ECcE9a7eB7b4
LTC / USD,0x6AF09DF7563C363B5763b9102712EbeD3b9e859B
MANA / ETH,0x82A44D92D6c329826dc557c5E1Be6ebeC5D5FeB9
MKR / ETH,0x24551a8Fb2A7211A25a17B1481f043A8a8adC7f2
MLN / ETH,0xDaeA8386611A157B08829ED4997A8A62B557014C
N225 / JPY,0x5c4939a2ab3A2a9f93A518d81d4f8D0Bc6a68980
NMR / ETH,0x9cB2A01A7E64992d32A34db7cEea4c919C391f6A
OXT / USD,0xd75AAaE4AF0c398ca13e2667Be57AF2ccA8B5de6
Orchid,0xa175FA75795c6Fb2aFA48B72d22054ee0DeDa4aC
PAX / ETH,0x3a08ebBaB125224b7b6474384Ee39fBb247D2200
RCN / BTC,0xEa0b3DCa635f4a4E77D9654C5c18836EE771566e
REN / ETH (Bancor),0xF9680D99D6C9589e2a93a78A04A279e509205945
REN / ETH,0x3147D7203354Dc06D9fd350c7a2437bcA92387a4
REN / USD,0x0f59666EDE214281e956cb3b2D0d69415AfF4A01
REP / ETH,0xD4CE430C3b67b3E2F7026D86E7128588629e2455
RLC / ETH,0x4cba1e1fdc738D0fe8DB3ee07728E2Bc4DA676c6
